compression_capacity,conversion_trains_number,electrolyser_capacity,fuelcell_capacity,hydrogen_storage_capacity,renewable_energy_capacity,vector_storage_capacity
0.4310294744,0.8143679723,0.8064127667,0.0534566846,0.2979392316,0.8398779975,0.6977758491
0.8824654864,0.1568448050,0.3269230491,0.9532475471,0.5705842916,0.2673133221,0.4128335919
0.7033175640,0.7432012549,0.7148300847,0.3620086834,0.7657378279,0.1997448457,0.8257834259
0.2331875702,0.2739105038,0.1689329771,0.6447110008,0.1028302759,0.6262036338,0.0328452932
0.1038648114,0.5285667805,0.4825091492,0.6224225685,0.1546812253,0.9477889407,0.9765761280
0.5826465441,0.4962877780,0.8994991500,0.4021041226,0.9757881993,0.3820619592,0.1291333940
0.7531365324,0.9117452838,0.0118973050,0.8059822526,0.6869494012,0.0879220478,0.6085070614
0.3103522519,0.0672104275,0.6202940997,0.2185595036,0.4435975133,0.5231717220,0.2530684518
0.3127994146,0.6392111685,0.0932337400,0.4658707632,0.5427373815,0.7088556420,0.9085535761
0.8737363713,0.3593716370,0.5395203326,0.5581674697,0.3306374233,0.1488501998,0.2015525037
0.5401756428,0.8031513253,0.4348164219,0.1494218009,0.0105293021,0.3177464455,0.5363930063
0.0232889643,0.2100793738,0.9475104045,0.8746318547,0.8628919907,0.7587174801,0.3217627499
0.1438379064,0.9552171053,0.6334612099,0.8973854678,0.8795829276,0.5657943124,0.6258451398
0.6696204646,0.0501334649,0.2496743342,0.1098072259,0.2479273053,0.0145796929,0.4813445443
0.9942915160,0.6042651627,0.8540730542,0.7059442056,0.4118425203,0.4569035536,0.7575775282
0.4422504315,0.3864373798,0.2788793845,0.3012635829,0.7157432949,0.9047123380,0.1054477487
0.4824558171,0.5688298577,0.5166952126,0.7505603796,0.0627872730,0.0606868304,0.3770670993
0.9540487509,0.4131205771,0.0997014344,0.2246689657,0.8057653056,0.6128802216,0.7325667329
0.6322224950,0.9986392241,0.9874291793,0.5670083845,0.5949712722,0.9205537383,0.0048906133
0.1812728532,0.0311623635,0.3790285029,0.4082055381,0.2735057315,0.4717704738,0.8527605897
0.0596185653,0.7761932034,0.1941305483,0.3236843431,0.4836176131,0.1646934329,0.1568439407
0.5038695931,0.2457280913,0.6736241328,0.6698553851,0.6468837317,0.7237206995,0.9498430975
0.8324016118,0.6583956229,0.2860795083,0.0151246553,0.9513630271,0.8048265995,0.2885908112
0.3541100714,0.3156746533,0.8319803486,0.9783999780,0.1790918224,0.3648304027,0.5739603108
0.2725575389,0.8839098131,0.3668380091,0.7296238933,0.8384968759,0.4296342572,0.2292632796
0.7909071576,0.1019817330,0.7506286623,0.2634277306,0.0349699268,0.9943862818,0.8818203164
0.6234927541,0.5488270074,0.1461040424,0.9210728444,0.3706875509,0.5385250011,0.3572848653
0.0630421676,0.4536665110,0.7213015938,0.0719633270,0.5027017696,0.1042536218,0.5018464997
0.1915171323,0.7087043338,0.9067030884,0.1569958963,0.7401612829,0.2826685831,0.4455782808
0.7450249642,0.3015321484,0.4604126289,0.8187215496,0.3874399979,0.8562076194,0.6606357945
0.9193749661,0.8567753537,0.5647541285,0.4734371696,0.2079152800,0.6737777647,0.0774928248
0.3940826003,0.1368590221,0.0520564131,0.5022652112,0.9196414128,0.2463403242,0.7845549360
0.3843614468,0.7202484515,0.4086644333,0.9907458983,0.4601161350,0.1194500485,0.0177037092
0.9291259963,0.2509557949,0.9584665764,0.0157296453,0.6703850608,0.5545785744,0.8731420357
0.7197103007,0.8373140851,0.0627470557,0.6743513513,0.9903708622,0.9793093046,0.3957481515
